URL,Name,Price,Rating,Reviews
/Okami-ZenPack-Minimal-Messenger-Briefcase/dp/B0BVZT69JN,Okami ZenPack UNO Minimal Laptop Messenger Bag X Briefcase,"₹1,999",4.3,19
/Motherly-Diaper-Bags-Travel-Basic/dp/B07PKQ3WJZ,motherly Diaper Bags for Mom Travel Basic Edition (Navy Blue),"₹1,549",4.5,"2,485"
/Storite-Leather-Sling-Bag-Brown/dp/B08TR8RMNH,"Storite Stylish Multi-Pocket Small Sling Cross Body Travel Messenger One Side Shoulder Bag for Men & Women (Brown, 20.5x9x16.5cm)",₹798,4.0,More Like This
/gp/bestsellers/shoes/1983356031/ref=sr_bs_1_1983356031_1,Lavie Women's Betula Medium Tote Bag | Ladies Purse Handbag,₹959,4.1,More Like This
/NETTIE-Cotton-Carry-Strap-Drawstring/dp/B08LBT1R9J,NETTIE Cotton Carry Bag with Strap and Drawstring for Yoga Mat- Big Size,₹198,4.1,"1,067"
/Priority-ARC-Red-Polyester-Trolley/dp/B08HHD4T6W,Priority ARC 56 cm Red Polyester 2 Wheel Duffle Trolley Bag | Travel Luggage for Men & Women,₹411.86,4.0,More Like This
/F-Gear-Milestone-Casual-Laptop-Backpack/dp/B08FX1R6WY,F Gear Milestone Olive Casual 20 Ltrs Laptop Backpack (3376),"₹1,071",4.0,More Like This
/Nishi-Backpack-Waterproof-Stylish-College/dp/B0BR9W54MW,"Nishi Medium Kids Backpack Waterproof Backpack, Girls & Women Stylish Trendy College, School & College Bag Black",₹369,3.3,More Like This
/Gear-Bounce-Backpack-Grey-Orange-BKPBOUNCE0604/dp/B097KCLF5F,Gear Bounce 27 Ltrs Water Resistant School Bag/Backpack/College Bag for Men/Women-Grey Orange,₹615,3.6,422
/ADISA-BP005-Weight-Casual-Backpack/dp/B07D8ZLTT9,ADISA Light Weight Laptop Backpack 32 Ltrs,₹499,4.0,"5,861"
/Classic-Leather-Laptop-Backpack-LBPCLSLTH1901/dp/B07G4CYC74,Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Tan,₹990,4.4,More Like This
/NORTH-ZONE-Lightweight-Backpacks-Stylish/dp/B0BL3SPN16,NORTH ZONE Lightweight school bags Backpacks for Boys Girls Stylish men and women Casual Travel Laptop Bag College office,₹568,3.9,More Like This
/SKYTONE-Cosmetic-Bag-Cosmetics-Organizer/dp/B0BV358QKF,"SKYTONE 12cms Large Capacity Cosmetic Travel Bag, Women's Makeup Travel Bag Portable Leather Cosmetics Bag, Makeup Storage Bags with Handle and Divider, Wide Opening Cosmetic/Makeup Organizer (L_Pink)",₹749,3.9,138
/Lunars-Router-Resistant-Raincover-Organiser/dp/B08YR63B9M,"Lunar's 35 L Laptop Office/School/Travel/Business Backpack Water Proof - Fits Up to 15.6 Inch Laptop Notebook, With Raincover, Inside Organiser and 1 Year Warranty (All)",₹849,3.8,More Like This
/PAZZO-Alto-40L-Casual-Backpack/dp/B07VT3F795,"PAZZO Alto 40L Casual Backpack - 3 Compartment Travel Backpack, College|School Bag with 1 Year Warranty",₹849,4.0,More Like This
/Safari-Overnighter-Resistant-Travelling-All-Purpose/dp/B097JM98M1,"Safari Seek 32 Ltrs Overnighter Travel Laptop Backpack (Blue), Water Resistant Spacious Bag for Travelling and Camping, All-Purpose Bag for Business & Leisure","₹1,899",4.3,More Like This
/Genie-Flamenco2-Backpack-Compatible-Resistant/dp/B08YF1XJXY,"Genie Flamenco Laptop Backpack for Women, 16 inches Office Bag, Sky Blue Stylish and Trendy Bag for Office and College",₹799,4.4,"2,995"
/Gear-DOUBLE-Resistant-Backpack-Navy-Tan/dp/B0BTJ2T26W,Gear DOUBLE DECKER 31L Water Resistant Laptop Bag/Backpack/Office Bag for Men/Women (Navy-Tan),"₹1,482",4.0,1
/Gear-Colorado-Navy-Laptop-Backpack/dp/B097K6SPH7,F Gear Colorado Navy Lmn yelw 39 Ltrs Laptop Backpack (3813),₹999,4.2,More Like This
/Wildcraft-Polyester-Black-Laptop-8903338054290/dp/B012D4QKHW,Wildcraft 44 cms Polyester Black Laptop Bag (8903338054290),"₹1,589",4.3,More Like This
